russian_title,english_title,rating,vote_count,genre,director,is_film,start_year,end_year,duration_minutes,country,actors
Последний дракон,The Last Dragon,5.8,357.0,боевик,Майкл Шульц,True,1985.0,,109.0,США,Таймак|Вэнити
"Беги, Ронни, беги",Run Ronnie Run,5.5,357.0,комедия,Трой Миллер,True,2002.0,,86.0,США,Брюс Тейлор|Дэвид Кросс
Кровные братья,Blood Brothers: Bara Naga,,,боевик,Абхилаш Чандра,True,2025.0,,129.0,Малайзия,Sharnaaz Ahmad|Сяфик Кайл
Рождество над облаками,Christmas Above the Clouds,6.0,356.0,драма,Питер Бенсон,True,2025.0,,84.0,Канада,Эрин Краков|Тайлер Хайнс
Момо,Momo,,,фэнтези,Кристиан Диттер,True,2025.0,,91.0,Германия,Алекса Гудолл|Аралойин Ошунреми
Сводная,Svodnaya,,,Режиссёр: Роман Ткаченко,,False,,,,мелодрама,Анна Сагайдачная|Юлия Амелькина
Истории чистого сердца,Nohyiha Linahya,,,мультфильм,Мостафа Эль Фарамави,False,,,,Египет,Салах Абдаллах|Мохамед Мамдух
Протокол Каллисто: Станция Хеликс,The Callisto Protocol: Helix Station,,,ужасы,Уилли Блок,False,,,,США,Гвендолин Кристи|Сэм Литтлфилд
Какой должна быть любовь,Ai qing ying gai you de yang zi,,,мелодрама,Юй Цзунцзун,False,,,,Китай,Анджела Бейби|Лай Куаньлинь
Запрещено собакам и итальянцам,Interdit aux chiens et aux Italiens,7.4,356.0,мультфильм,Ален Угетто,True,2022.0,,70.0,Франция,Ариан Аскарид|Ален Угетто
Дакота,Dakota,5.4,356.0,семейный,Кирк Харрис,True,2022.0,,96.0,США,Лола Султан|Патрик Малдун
Кровавая вечеринка,Slumber Party Massacre,5.1,356.0,ужасы,Данишка Эстерхази,True,2021.0,,86.0,ЮАР,Ханна Гонера|Фрэнсис Шолто-Дуглас
Ошибка,La Faute,,,триллер,Нильс Тавернье,False,,,,Франция,Валери Карсенти|Наташа Линдинжер
